,时间,羊坊村盛芳花卉,羊坊村盛芳花卉_root,相对偏差
563,2018-11-24 13:00:00,113.72546357109955,91.3,0.2456239164413971
564,2018-11-24 12:00:00,113.58136098780982,83.8,0.35538616930560646
565,2018-11-24 11:00:00,91.72167190111182,75.6,0.213249628321585
566,2018-11-24 10:00:00,76.87328090656513,69.9,0.09976081411395024
567,2018-11-24 09:00:00,76.71273310846281,66.7,0.15011593865761336
568,2018-11-24 08:00:00,70.84495387183685,69.2,0.02377100970862496
569,2018-11-24 07:00:00,64.51533744837394,69.4,0.07038418662285395
570,2018-11-24 06:00:00,64.45867221990693,68.6,0.06036920962234788
571,2018-11-24 05:00:00,62.7322291236733,66.6,0.05807463778268311
572,2018-11-24 04:00:00,54.16293184162963,66.3,0.18306286815038264
573,2018-11-24 03:00:00,80.85543822688855,79.0,0.023486559834032302
574,2018-11-24 02:00:00,108.48507075683574,84.6,0.2823294415701625
