,时间,小屯公园,小屯公园_root,相对偏差
533,2018-11-25 19:00:00,118.19980127192542,90.0,0.31333112524361584
534,2018-11-25 18:00:00,101.73316607989013,78.0,0.30427135999859134
535,2018-11-25 17:00:00,89.50808817489468,77.6,0.15345474452183874
536,2018-11-25 16:00:00,91.29683348206225,70.1,0.3023799355501036
537,2018-11-25 15:00:00,102.24784872017005,71.6,0.4280425798906433
538,2018-11-25 14:00:00,102.39538086495551,76.5,0.33850171065301327
539,2018-11-25 13:00:00,105.79399402551259,88.4,0.19676463829765364
540,2018-11-25 12:00:00,125.41938052322425,100.3,0.250442477798846
541,2018-11-25 11:00:00,120.66586770953357,100.3,0.20304952850980634
542,2018-11-25 10:00:00,131.43661776853497,103.0,0.2760836676556793
543,2018-11-25 09:00:00,116.9520758630949,84.2,0.3889795233146663
544,2018-11-25 08:00:00,119.53381058020261,96.5,0.23869233761867992
545,2018-11-25 07:00:00,128.5076878727526,107.1,0.19988504082868913
546,2018-11-25 06:00:00,138.63717686559647,124.9,0.10998540324736963
547,2018-11-25 05:00:00,149.66312602363254,128.8,0.16198079210894822
548,2018-11-25 04:00:00,151.72234858923684,126.2,0.20223731053278005
549,2018-11-25 03:00:00,144.87117447773386,123.3,0.17494869811625194
550,2018-11-25 02:00:00,144.98013771779918,127.6,0.13620797584482122
551,2018-11-25 01:00:00,158.3013488682062,147.1,0.07614785090554858
552,2018-11-25 00:00:00,187.6804097356674,168.6,0.11316969000988979
553,2018-11-24 23:00:00,210.21234828135312,174.4,0.20534603372335497
554,2018-11-24 22:00:00,215.13201635781138,190.3,0.13048878800741653
555,2018-11-24 21:00:00,215.4851277312382,188.7,0.14194556296363658
556,2018-11-24 20:00:00,208.84494350283956,179.3,0.1647793837302819
557,2018-11-24 19:00:00,195.32814864748522,157.6,0.23939180613886565
558,2018-11-24 18:00:00,182.17103421731,134.2,0.3574592713659464
559,2018-11-24 17:00:00,143.4325732913873,109.0,0.3158951678108928
560,2018-11-24 16:00:00,141.35719455191492,113.9,0.2410640434759869
561,2018-11-24 15:00:00,135.4819219670476,92.6,0.4630877102272961
562,2018-11-24 14:00:00,122.96471718887489,94.1,0.3067451348445791
563,2018-11-24 13:00:00,138.65779954346,90.1,0.5389322923802441
564,2018-11-24 12:00:00,110.80870619411736,77.0,0.4390741064171086
565,2018-11-24 11:00:00,101.10368507755835,64.6,0.5650725244204081
566,2018-11-24 10:00:00,86.69790465421761,69.3,0.25105201521237536
567,2018-11-24 09:00:00,79.13021536213908,72.8,0.08695350772169075
568,2018-11-24 08:00:00,76.2263793207674,75.4,0.010959937941212217
569,2018-11-24 07:00:00,73.46484500160051,61.0,0.20434172133771325
570,2018-11-24 06:00:00,68.16690508110756,54.6,0.24847811503859993
571,2018-11-24 05:00:00,71.58163681735462,55.4,0.2920873071724661
572,2018-11-24 04:00:00,77.52584310556952,77.0,0.006829131241162613
573,2018-11-24 03:00:00,93.95666332002378,106.4,0.11694865300729536
574,2018-11-24 02:00:00,124.56145159185525,115.0,0.0831430573204804
575,2018-11-24 01:00:00,122.08167143683646,121.9,0.0014903317213818942
576,2018-11-24 00:00:00,131.14724139902845,115.7,0.13351116161649473
577,2018-11-23 23:00:00,132.6607933110266,116.5,0.13871925588864029
578,2018-11-23 22:00:00,127.79850103571238,109.8,0.1639207744600399
579,2018-11-23 21:00:00,130.96310912551192,106.2,0.23317428555095968
580,2018-11-23 20:00:00,130.00158881897184,97.3,0.33609032701923786
581,2018-11-23 19:00:00,122.08894193234795,91.7,0.33139522281731676
582,2018-11-23 18:00:00,108.7319655057852,80.5,0.35070764603459875
583,2018-11-23 17:00:00,99.66658285075972,81.0,0.2304516401328361
584,2018-11-23 16:00:00,94.10472603989682,74.5,0.26315068509928613
585,2018-11-23 15:00:00,63.10982958723501,60.6,0.04141632982235991
586,2018-11-23 14:00:00,58.62947558757221,53.4,0.0979302544489178
587,2018-11-23 13:00:00,57.71275218535628,55.3,0.043630238433205834
588,2018-11-23 12:00:00,55.51629037784321,54.8,0.013070992296409038
589,2018-11-23 11:00:00,53.859810685017834,49.7,0.08369840412510726
590,2018-11-23 10:00:00,72.2594171803275,56.4,0.2811953400767288
591,2018-11-23 09:00:00,75.337319577508,60.8,0.23910065094585528
592,2018-11-23 08:00:00,75.38919240301817,53.7,0.40389557547519866
593,2018-11-23 07:00:00,68.0719414589611,47.9,0.4211261264918812
594,2018-11-23 06:00:00,65.34249910951158,54.5,0.19894493778920327
595,2018-11-23 05:00:00,82.73438862228448,66.8,0.2385387518306061
596,2018-11-23 04:00:00,105.99712062167244,82.6,0.28325811890644603
597,2018-11-23 03:00:00,108.39772825903275,97.4,0.11291302113996653
598,2018-11-23 02:00:00,123.78984495294115,101.4,0.2208071494372894
599,2018-11-23 01:00:00,122.40539619605426,91.8,0.3333921154254277
600,2018-11-23 00:00:00,108.2385641454893,83.5,0.29627022928729707
601,2018-11-22 23:00:00,99.70429773808846,77.2,0.29150644738456544
602,2018-11-22 22:00:00,93.69938931377663,69.0,0.3579621639677773
